endtime,censored
5.85E-10,0
5.54E-09,0
3.00E-08,0
5.14E-08,0
4.63E-07,0
5.63E-07,0
5.30E-05,0
8.10E-05,0
2.25E-04,0
8.17E-04,0
2.09E-03,0
0.112,0
0.142,0
3.217,0
6.515,0
8.599,0
19.205,0
21.347,0
72.218,0
131.85,0
145.08,0
145.98,0
146.67,0
154.37,0
157.17,0
159.13,0
159.75,0
164.04,0
168.56,0
169.78,0
171.77,0
172.89,0
173.75,0
174.3,0
176.38,0
180.43,0
182.26,0
186.43,0
186.44,0
186.69,0
186.69,0
187.29,0
206.07,0
207.5,0
0.15,1
2.5,1
19.03,1
120.21,1
207.5,1
207.5,1
207.5,1
